유형,대회명,웹페이지,시작일,종료일
공모전,2023 제 1 회 농식품 마케팅 공모전,https://www.live-contest.com/marketing/?idx=15242834&bmode=view,2023-06-15,2023-07-03
경진대회,월간 데이콘 법원 판결 예측 AI 경진대회,https://dacon.io/competitions/official/236112/overview/description,2023-06-05,2023-07-03
공모전,핀테크 포용금융 핵셀러레이터,https://fintech.or.kr/web/board/boardContentsView.do?board_id=3&contents_id=011c24ed6bfb46f78381b32ff751ed4e,2023-06-07,2023-07-04
공모전,2023년 외교 공공데이터 활용 경진대회,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2305-0000225,2023-05-10,2023-07-04
공모전,BiG(Busan is Good) Data Hackathon,https://www.dxchallenge.co.kr/events/BDHackathon,2023-06-28,2023-07-05
공모전,제3회 KOPIS 빅데이터 공모전,https://www.kopis.or.kr/por/cs/notice/csNoticeListView.do?ntt_id=2752&listCurPage=1&srchType=subject&srchText=&menuId=MNU_000104,2023-06-01,2023-07-05
경진대회,2023년 지질자원 데이터 활용 및 인공지능 경진대회,https://www.geodata-con.kr/2023/,2023-06-05,2023-07-05
공모전,2023년 전라남도 공공ㆍ빅데이터 활용 아이디어 공모전,https://www.jeonnam.go.kr/M7124/boardView.do?seq=1935565&infoReturn=&menuId=jeonnam0201000000&displayHeader=&searchType=&searchText=&pageIndex=1&boardId=M7124&displayHeader=,2023-05-15,2023-07-05
공모전,서울시농수산식품공사 2023년 혁신 아이디어 공모전,https://inuri30.garak.co.kr/main/main.do,2023-06-26,2023-07-07
공모전,FSI Data Challenge 2023,https://www.findatamall.or.kr/fsec/board/view.do?cmnx=61&idx=174,2023-06-12,2023-07-07
공모전,2023 춘천시 빅데이터 분석 경진대회,http://www.kado.net/news/articleView.html?idxno=1187103,2023-06-13,2023-07-07
공모전,[2023 착한 아이디어 경진대회] 물품 기부문화 확산 아이디어,https://www.ipmarket.or.kr/idearo/service/idc/chlg/idcDetail.do,2023-06-08,2023-07-07
공모전,Plug into AI with AI21,https://lablab.ai/event/plug-into-ai-with-ai21,2023-06-28,2023-07-07
공모전,한국공항공사 공항 혁신(기술) 아이디어 공모전,https://www.airport.co.kr/www/cms/frBoardCon/boardView.do?MENU_ID=1100&SITE_NO=2&BOARD_SEQ=1&BBS_SEQ=3554243,2023-05-08,2023-07-07
공모전,Google Cloud Vertex AI Hackathon,https://lablab.ai/event/google-vertex-ai-hackathon,2023-06-20,2023-07-08
경진대회,Explore Multi-Label Classification with an Enzyme Substrate Dataset,https://www.kaggle.com/competitions/playground-series-s3e18,2023-06-27,2023-07-10
공모전,폴라리스쉐어 천하제일 AI 대회,https://documents.polarishare.io/m/ai-contest,2023-06-26,2023-07-10
공모전,Open Source AI Game Jam,https://itch.io/jam/open-source-ai-game-jam,2023-06-08,2023-07-10
공모전,2023년 산림공공 빅데이터 활용 창업경진대회,https://www.forest.go.kr/newkfsweb/cop/bbs/selectBoardArticle.do?nttId=3183313&bbsId=BBSMSTR_1031&pageUnit=10&ctgryMdcls=&ctgrySmcls=&ntcEndDt=&mn=KFS_02_04_07_01,2023-05-17,2023-07-10
공모전,2023 제 11회 공공데이터 활용 BI 공모전(빅데이터 분석),https://datacontest.kr/,2023-05-10,2023-07-10
공모전,2023 제 11회 공공데이터 활용 BI 공모전(아이디어 기획/제품 및 서비스 개발),https://datacontest.kr/,2023-04-17,2023-07-10
공모전,제5회 오티콘챌린지,http://oticon-event.com/content/campaign.html,2023-06-09,2023-07-13
공모전,제11회 문화데이터 활용 경진대회,https://www.culture.go.kr/data/contest/main.do,2023-05-25,2023-07-13
공모전,제11회 충남 공공데이터 활용 창업경진대회,https://ccei.creativekorea.or.kr/chungnam/allim/allim_view.do?no=13099,2023-07-13,2023-07-14
공모전,2023 사회보장정보와 공공·민간 빅데이터를 활용한 국민행복서비스 발굴·창업경진대회,http://www.ssis.or.kr/lay1/bbs/S1T67C95/A/102/view.do?article_seq=125156&cpage=1&rows=10&condition=&keyword=,2023-06-05,2023-07-14
공모전,하나 디지털 파워 온 프로젝트,https://www.hanapoweron.com/digitalpoweron/,2023-06-12,2023-07-16
경진대회,제33회 대학생 모의투자대회,https://www.kiwoom.com/m/mock/ordinary/VMockConTotalCHOMEView,2023-05-22,2023-07-16
공모전,2023 Kaggle AI Report,https://www.kaggle.com/competitions/2023-kaggle-ai-report,2023-05-11,2023-07-16
공모전,통계청 제10회 국가승인통계 활용 디지털콘텐츠 공모전,https://kosis.kr/contest/index.do,2023-05-15,2023-07-16
공모전,융·복합 데이터 활용 창업경진대회 공모전,https://www.koenergy.kr/kosep/ct/info.do,2023-06-13,2023-07-17
공모전,블록체인·핀테크 경진대회 『BEST Challenge』,https://litt.ly/2023best,2023-05-31,2023-07-17
공모전,2023년 트래블 이노베이션 아이디어 공모전,https://yanolja-research.com/notice/view/1,2023-07-03,2023-07-17
경진대회,2023년 k-ium 의료인공지능경진대회,https://www.k-ium.com/#/home/index,2023-06-19,2023-07-18
공모전,제6회 핀테크 아이디어 공모전,https://fintech.or.kr/web/board/boardContentsListPage.do?board_id=1&menu_id=6100&miv_pageNo=,2023-06-12,2023-07-19
공모전,2023 관광분야 GEN AI 해커톤,https://genai.quv.kr/,2023-07-03,2023-07-20
공모전,2023년 문화관광 데이터 분석대회,http://www.tourbigdata.kr/introduce.asp,2023-06-26,2023-07-20
공모전,제1회 국회미래연구원 행복연구 논문공모전,https://www.nafihappy.com/,2023-06-07,2023-07-20
공모전,제17회 공개SW 개발자대회,https://www.oss.kr/dev_competition,2023-06-15,2023-07-20
경진대회,Fake or Real: AI 생성 이미지 판별 경진대회,https://aiconnect.kr/competition/detail/227,2023-05-24,2023-07-20
